연번,시설종류,시설명,정원,주소,전화번호,데이터기준일자
36,노인요양시설,(주)원하트 노인전문요양센터,62,경기도 용인시 기흥구 죽전로43번길 11-28,031-265-8899,2019-03-31
37,노인요양시설,서수지요양원,90,경기도 용인시 수지구 성복동 도마치로89번길,031-265-1188,2019-03-31
38,노인요양시설,평강요양원,29,경기도 용인시 기흥구 사은로 126번길 56,031-274-1211,2019-03-31
39,노인요양시설,수지제일노인요양원,48,경기도 용인시 수지구 심곡로87 제일아이조움 B동 3층,031-272-6622,2019-03-31
40,노인요양시설,노블실버홈,124,경기도 용인시 기흥구 신구로 64 (구갈동),031-274-5470,2019-03-31
41,노인요양시설,경기산들요양센터,33,경기도 용인시 기흥구 중부대로874번길11,031-282-5252,2019-03-31
42,노인요양시설,(주)성은실버케어스 2관,94,경기도 용인시 수지구 현암로 73 (죽전동),031-263-9795,2019-03-31
43,노인요양시설,참 행복의 집,13,경기도 용인시 처인구 백암면 황새울로133번길1-2,031-322-4179,2019-03-31
44,노인요양시설,에녹의 집,16,경기도 용인시 처인구 양지면 주북로 75번길 4,031-334-2511,2019-03-31
45,노인요양시설,수지성모요양원,90,경기도 용인시 수지구 고기로 163번길 17(동천동),031-263-7745,2019-03-31
46,노인요양시설,마마파파요양원,49,경기도 용인시 처인구 백옥대로941번길12,031-339-0080,2019-03-31
47,노인요양시설,새희망요양원,41,경기도 용인시 기흥구 흥덕중앙로41(영덕동) 흥덕웰스프라자 6층,031-211-7776,2019-03-31
48,노인요양시설,은이너싱홈,28,경기도 용인시 처인구 양지면 은이로219-34,031-334-6258,2019-03-31
49,노인요양시설,죽전엘림요양원,33,경기도 용인시 기흥구 죽전로20 누리에뜰A동 417호,031-897-0002,2019-03-31
50,노인요양시설,꽃향기요양원,45,경기도 용인시 기흥구 언동로71번길55(청덕동),031-283-4321,2019-03-31
51,노인요양시설,흥덕요양원,29,경기도 용인시 기흥구 흥덕2로 117번길23 하워드힐하우스10층,031-286-7021,2019-03-31
52,노인요양시설,너싱홈그린휴,37,"경기도 용인시 수지구 대지로 39, (죽전동)",031-261-6699,2019-03-31
53,노인요양시설,힐링하우스 실버요양센터,78,경기도 용인시 처인구 새래로 146,031-333-9100,2019-03-31
54,노인요양시설,도손요양원,22,경기도 용인시 기흥구 한보라2로 5-5 3층,031-286-0616,2019-03-31
55,노인요양시설,하나요양원,40,경기도 용인시 처인구 백옥대로1255-8,031-323-6538,2019-03-31
56,노인요양시설,연세요양원,23,경기도 용인시 기흥구 어정로 139 (중동),031-283-5011,2019-03-31
57,노인요양시설,수지행복마지요양원,28,경기도 용인시 수지구 이현로 115 201호,031-896-2077,2019-03-31
58,노인요양시설,효도나라요양원,49,"경기도 용인시 처인구 금어로2, 4층",031-339-9113,2019-03-31
59,노인요양시설,용인효민요양원,16,경기도 용인시 처인구 백옥대로1374 유림해피랜드,031-339-5831,2019-03-31
60,노인요양시설,사랑나무요양원,85,경기도 용인시 기흥구 구성1로 20 주공프라자3.4.5층,031-287-0075,2019-03-31
61,노인요양시설,수지열린요양원,105,경기도 용인시 수지구 심곡로27,031-272-8580,2019-03-31
62,노인요양시설,용인삼성노인전문요양원,27,"경기도 용인시 처인구 금령로62, 9층(김량장동, 위너스프라자)",031-336-6555,2019-03-31
63,노인요양시설,구성노인전문요양원,186,경기도 용인시 기흥구 구성1로28(청덕동),031-287-6699,2019-03-31
64,노인요양시설,아름다운실버요양원,20,경기도 용인시 수지구 현암로 160 5층,031-897-3237,2019-03-31
65,노인요양시설,동백마더요양원,29,경기도 용인시 기흥구 동백중앙로203번지601호,031-283-8500,2019-03-31
66,노인요양시설,주식회사 명품우리들요양원,29,경기도 용인시 수지구 현암로95 7층(죽전동 현대프라자),031-272-3900,2019-03-31
67,노인요양시설,효미인 실버케어,23,"경기도 용인시 기흥구 구성로39번길 3, 2층 효미인실버케어",031-287-7577,2019-03-31
68,노인요양시설,해마루 실버케어,45,경기도 용인시 처인구 백암면 죽양대로 801번길 26-64,031-334-6070,2019-03-31
69,노인요양시설,아름요양원,82,경기도 용인시 처인구 명지로 198,031-322-0665,2019-03-31
70,노인요양시설,어르신사랑요양원,29,"경기도 용인시 기흥구 흥덕2로87번길18,D503(영덕동)",031-214-7469,2019-03-31
71,노인요양시설,예원요양원,16,경기도 용인시 처인구 양지면 중부대로1876번길 26,031-335-6286,2019-03-31
72,노인요양시설,요양원 헤세드하우스,61,경기도 용인시 기흥구 동백죽전대로527번길100-16,031-274-5600,2019-03-31
73,노인요양시설,마더링케어 요양원,43,경기도 용인시 기흥구 강남동로6(그랜드프라자6층),031-281-0100,2019-03-31
74,노인요양시설,죽전요양원,29,경기도 용인시 수지구 현암로128 6층센터프라자,031-889-7000,2019-03-31
75,노인요양시설,로얄튼너싱홈,99,경기도 용인시 석성로 521번길 14-2,031-285-2850,2019-03-31
76,노인요양시설,함춘너싱홈,16,경기도 용인시 기흥구 구성로 279번길 3-36,031-284-8479,2019-03-31
77,노인요양공동생활가정,로뎀의 집,9,경기도 용인시 처인구 514-13,031-334-1486,2019-03-31
78,노인요양공동생활가정,남부효요양원(희락),9,경기도 용인시 기흥구 용구대로 2362 3층,031-284-9491,2019-03-31
79,노인요양공동생활가정,남부효요양원(화평),9,경기도 용인시 기흥구 용구대로 2362 3층,031-284-9491,2019-03-31
80,노인요양공동생활가정,효봉원,9,경기도 용인시 처인구 원삼면 수정로6번길 108,031-339-5013,2019-03-31
81,노인요양공동생활가정,용인해바라기요양원,9,경기도 용인시 처인구 양지면 한터로 439번길 32,031-323-4061,2019-03-31
82,노인요양공동생활가정,우리어르신요양센터,9,경기도 용인시 기흥구 보정로 109(현대프라자3층),031-263-8877,2019-03-31
83,노인요양공동생활가정,늘 섬기는 효행의 집,9,경기도 용인시 처인구 양지면 죽양대로 2031번길 18,031-339-0377,2019-03-31
84,노인요양공동생활가정,보림요양원(믿음),9,경기도 용인시 수지구 동천로 83 4층(윤창빌딩),031-263-8600,2019-03-31
85,노인요양공동생활가정,보림요양원(소망),8,경기도 용인시 수지구 동천로 83 4층(윤창빌딩),031-262-8601,2019-03-31
86,노인요양공동생활가정,보림요양원(사랑),9,경기도 용인시 수지구 동천로 83 4층(윤창빌딩),031-263-8600,2019-03-31
87,노인요양공동생활가정,가람요양원,9,경기도 용인시 처인구 해실로67-1,031-338-8238,2019-03-31
88,노인요양공동생활가정,노인요양공동생활가정 은지연,7,경기도 용인시 처인구 원양로 58-22,031-339-8655,2019-03-31
89,노인요양공동생활가정,실로암요양원,9,"경기도 용인시 수지구 신봉1로62(신봉동,LG프라쟈501호,502호)",031-262-2988,2019-03-31
90,노인요양공동생활가정,용인평안요양원,9,경기도 용인시 처인구 이동읍 구수동로 12,031-339-6234,2019-03-31
91,노인요양공동생활가정,사랑샘노인복지센터,9,경기도 용인시 기흥구 신갈로96번길 11-28 (신갈동),031-287-4703,2019-03-31
92,노인요양공동생활가정,수지실버요양원,9,경기도 용인시 수지구 신봉2로73-2 304호,031-272-0047,2019-03-31
93,노인요양공동생활가정,노인공동생활가정 가람,,경기도 용인시 기흥구 신갈로 84번길 27-8,031-283-2251,2019-03-31
94,노인요양공동생활가정,상현어르신요양센터,9,경기도 용인시 수지구 성복2로 17골드프라자3층,031-261-3214,2019-03-31
95,노인요양공동생활가정,늘편한요양원,9,경기도 용인시 기흥구 구갈로 64 소공빌딩 403호,031-286-3620,2019-03-31
96,노인요양공동생활가정,노인요양원 희망,9,"경기도 용인시 수지구 현암로 157, 6층",031-889-6770,2019-03-31
97,노인요양공동생활가정,노인요양원 희망2,9,"경기도 용인시 수지구 현암로 157, 6층",031-889-6770,2019-03-31
98,노인요양공동생활가정,우리기쁨요양원,9,경기도 용인시 기흥구 흥덕1로 101,031-211-3391,2019-03-31
99,노인요양공동생활가정,기흥해피요양원1호,9,경기도 용인시 기흥구 구갈로64(구갈동),031-285-1977,2019-03-31
100,노인요양공동생활가정,기흥해피요양원2호,9,경기도 용인시 기흥구 구갈로64(구갈동),031-285-1977,2019-03-31
101,노인요양공동생활가정,송은요양원(죽전점)2관,9,경기도 용인시 수지구 현암로 105 명지프라자 6층,031-896-8807,2019-03-31
102,노인요양공동생활가정,한보라요양원,9,경기도 용인시 기흥구한보라1로10번길6-7애니타워3층,031-275-9000,2019-03-31
103,노인요양공동생활가정,더사랑 효민요양센터,9,경기도 용인시 수지구 현암로 95(죽전동),031-266-1774,2019-03-31
104,재가노인복지시설,인보노인복지센터,17,경기도 용인시 처인구 포곡읍 백옥대로 1832번길 42,031-339-9146,2019-03-31
105,재가노인복지시설,용인시재가노인지원서비스센터 효담채,,경기도 용인시 기흥구 죽전로 6 한솔프라자 7층(보정동),031-898-1425,2019-03-31
106,재가노인복지시설,이동농협노인복지센터,,경기도 용인시 처인구 이동면 백옥대로 595,031-336-4419,2019-03-31
107,재가노인복지시설,루터대학교용인노인복지센터,80,경기도 용인시 기흥구 금화로82번길 20(상갈동),031-283-6336,2019-03-31
108,재가노인복지시설,이동농협 주간보호센터,21,경기도 용인시 처인구 이동면 백옥대로 595,031-336-4419,2019-03-31
109,재가노인복지시설,사랑나무데이케어센터,65,경기도 용인시 기흥구 구성1로 20. 2층,031-287-0027,2019-03-31
110,재가노인복지시설,구성농협 재가노인복지센터,,경기도 용인시 기흥구 구성로 40. 2층1,031-284-2464,2019-03-31
111,재가노인복지시설,반디재활주간보호센터,70,경기도 용인시 기흥구 동백중앙로 203. 2층,031-287-0066,2019-03-31
112,재가노인복지시설,어르신사랑요양센터2,35,경기도 용인시 기흥구 구갈로 72번길 10. 7층,031-281-7469,2019-03-31
113,재가노인복지시설,어르신사랑주간보호,29,경기도 용인시 기흥구 흥덕2로 87번길 18. D동 503호,031-214-7469,2019-03-31
114,재가노인복지시설,수지늘푸른주야간보호센터,31,경기도 용인시 수지구 신봉2로 60. 2층 204~205호(신봉동),031-261-1466,2019-03-31
115,재가노인복지시설,수지어르신요양센터,71,경기도 용인시 수지구 만현로 127. 806동 802호(상현동),031-264-0595,2019-03-31
116,재가노인복지시설,예스케어주야간보호센터,27,경기도 용인시 수지구 신봉1로 84. 503호,031-264-0048,2019-03-31
117,재가노인복지시설,지구촌노인복지센터,34,경기도 용인시 수지구 신봉2로 14번길 16,031-264-9940,2019-03-31
118,재가노인복지시설,"""하늘사이""재활주간보호센터",34,"경기도 용인시 처인구 명지로 40번길 16. 404, 405호 (역북동, 파스텔시티)",031-334-1142,2019-03-31
119,재가노인복지시설,대한간호장기요양센터,,경기도 용인시 처인구 낙은로 76-27,031-333-2266,2019-03-31
120,재가노인복지시설,중앙신학대학원대학교 부설 온석주간보호센터,65,경기도 용인시 처인구 남사면 아곡로 96번길 79. 3층,031-332-3846,2019-03-31
121,재가노인복지시설,(One+)용인동천노인복지센터,35,"경기도 용인시 수지구 동천로 375-10, 지하1층",031-896-1477,2019-03-31
122,재가노인복지시설,이화주야간보호센터,48,"경기도 용인시 수지구 심곡로 87. c동 313호 (성복동, 수지제일아이조움)",031-271-7090,2019-03-31
123,재가노인복지시설,무지개주간보호센터,42,경기도 용인시 기흥구 기흥로 116번길 99 (언남동),031-8005-9950,2019-03-31
124,양로시설,노블카운티,800,경기도 용인시 기흥구 덕영대로 1751(하갈동),031-208-8204,2019-03-31
125,양로시설,영보기도의집,29,경기도 용인시 처인구 이동면 이원로 512,031-333-7192,2019-03-31
126,노인여가복지시설,용인시처인노인복지관,,경기도 용인시 처인구 중부대로 1199(삼가동),031-324-9303,2019-03-31
127,노인여가복지시설,용인시수지노인복지관,,경기도 용인시 수지구 포은대로 435(풍덕천동),031-270-0000,2019-03-31
128,노인여가복지시설,용인시기흥노인복지관,,경기도 용인시 기흥구 산양로 71(신갈동),031-284-8852,2019-03-31
